"time","singleChiller.singleChiller.chillerWithHex2_1.chi.P","supplyTemp","returnTemp"
5030,636399.9174248546,291.5586477282986,291.5585127984066
5035,636399.9249729206,291.5586476038057,291.5585130763588
5040,636399.9325209867,291.5586474793128,291.558513354311
5045,636399.9400690526,291.5586473548198,291.5585136322632
5050,636399.9476171153,291.5586472303269,291.5585139102154
5055,636399.9551651814,291.5586471058339,291.5585141881676
5060,636399.9627132476,291.558646981341,291.5585144661197
5065,636399.9702613137,291.558646856848,291.5585147440719
5070,636399.9778093824,291.5586467323551,291.5585150220241
5075,636399.985357449,291.5586466078622,291.5585152999763
5080,636399.9929055115,291.5586464833692,291.5585155779285
5085,636400.0004535778,291.5586463588763,291.5585158558807
5090,636400.008001644,291.5586462343833,291.5585161338329
5095,636400.0155497103,291.5586461098904,291.558516411785
5100,636400.0230977766,291.5586459853974,291.5585166897372
5105,636400.030645843,291.5586458609045,291.5585169676895
5110,636400.0381939057,291.5586457364116,291.5585172456416
5115,636400.0457419723,291.5586456119186,291.5585175235938
5120,636400.0532900413,291.5586454874257,291.558517801546
5125,636400.0608381078,291.5586453629327,291.5585180794982
5130,636400.068386174,291.5586452384398,291.5585183574504
5135,636400.0759342372,291.5586451139469,291.5585186354025
5140,636400.0834823037,291.5586449894539,291.5585189133548
5145,636400.0910303703,291.558644864961,291.5585191913069
5150,636400.0985784368,291.558644740468,291.5585194692591
5155,636400.1061265031,291.5586446159751,291.5585197472113
5160,636400.1136745699,291.5586444914821,291.5585200251635
5165,636400.1212226327,291.5586443669892,291.5585203031157
5170,636400.1287706995,291.5586442424963,291.5585205810679
5175,636400.1363187686,291.5586441180033,291.5585208590201
5180,636400.1438668353,291.5586439935104,291.5585211369723
5185,636400.1514149018,291.5586438690174,291.5585214149244
5190,636400.1589629687,291.5586437445245,291.5585216928766
5195,636400.1665110318,291.5586436200315,291.5585219708288
5200,636400.1740590986,291.5586434955386,291.558522248781
5205,636400.1816071653,291.5586433710457,291.5585225267332
5210,636400.1891552319,291.5586432465527,291.5585228046854
5215,636400.1967032988,291.5586431220598,291.5585230826376
5220,636400.2042513622,291.5586429975668,291.5585233605897
5225,636400.2117994318,291.5586428730739,291.5585236385419
5230,636400.2193474987,291.558642748581,291.5585239164941
5235,636400.2268955654,291.558642624088,291.5585241944463
5240,636400.2344436322,291.5586424995951,291.5585244723985
5245,636400.2419916959,291.5586423751021,291.5585247503507
5250,636400.2495397629,291.5586422506092,291.5585250283029
5255,636400.2570878295,291.5586421261162,291.558525306255
5260,636400.2646358964,291.5586420016233,291.5585255842072
5265,636400.2721839637,291.5586418771304,291.5585258621595
5270,636400.2797320304,291.5586417526374,291.5585261401116
5275,636400.2872800977,291.5586416281445,291.5585264180638
5280,636400.2948281611,291.5586415036515,291.558526696016
5285,636400.3023762311,291.5586413791586,291.5585269739682
5290,636400.3099242981,291.5586412546656,291.5585272519204
5295,636400.3174723653,291.5586411301727,291.5585275298725
5300,636400.3250204322,291.5586410056798,291.5585278078248
5305,636400.3325684962,291.5586408811869,291.5585280857769
5310,636400.3401165633,291.5586407566939,291.5585283637291
5315,636400.3476646304,291.5586406322009,291.5585286416813
5320,636400.3552126974,291.558640507708,291.5585289196335
5325,636400.3627607648,291.5586403832151,291.5585291975857
5330,636400.3703088287,291.5586402587221,291.5585294755379
5335,636400.3778568987,291.5586401342292,291.5585297534901
5340,636400.3854049658,291.5586400097362,291.5585300314423
5345,636400.3929530332,291.5586398852433,291.5585303093944
